genre,description,year,ancestor
Tahitian Drumming,music genre,,
Tailgate,style of jazz,,jazz
Taiwanese folk music,music genre,,music of Taiwan
Taiwanese hip hop,music genre or scene,,music of Taiwan
Taiwanese mandopop,music genre,,music of Taiwan
Taiwanese rock,music genre or scene,,rock music
Taizé song,music genre,,Christian hymn
Tajik music,music of Tajik people as ethnic group,,music of Tajikistan
Tamang Selo,genre of Nepali folk song sung by the Tamang people of Nepal,,
Tambor,Afro-Venezuelan music genre,,music of Venezuela
Tambor de Crioula,dance of African origin practiced by descendants of African slaves in the Brazilian state of Maranhão,,dance
Tamil film music,music genre,,music of Tamil Nadu
Tamil folk music,music genre,,music of Tamil Nadu
Tamil hip hop,music genre and scene,,music of Tamil Nadu
Tamil pop,music genre or scene,,pop music
Tamil rock music,music genre or scene,,rock music
Tamunangue,music genre,,
Tanzanian hip hop,music genre or scene,,African hip-hop
Taoist music,music genre,,music of China
Taquirari,music genre,,music of Bolivia
Tarling,music genre,,
Taryeong,music genre,,
Tasgia,polyphonic singing system widespread mainly in upper Gallura (Sardinia),,polyphony
Tatar folk music,music genre,,traditional folk music
Tatar music,music of Tatars as ethnic group,,Turkic music
Tatar pop,pop music of Tatarstan,,pop music
Tatar rock,music genre or scene,,rock music
Tchamassi,music genre,,
Tche music,music genre,,
Telugu folk music,music genre,,Indian folk music
Telugu music,music genre,,music of India
Temari song,music genre,,nursery rhyme
Tenorlied,music genre,,
Teochew string music,music genre,,Jiangnan sizhu
Terra Verde,music genre,,
Teutonic thrash metal,Music genre originating in Germany,,thrash metal
Tex-Mex,"version of roots rock that mixes rock & roll, blues, country, and several types of Hispanic American music, particularly Tejano",,roots rock
Texas blues,music genre,1915,blues
Texas country music,music genre,1968,country music
Texas roadhouse music,music genre,,music of the United States
Thai classical music,music genre (≠ classical music in Thailand),,music of Thailand
Thai folk music,music genre,,music of Thailand
Thai hip hop,music genre or scene,,Asian hip-hop
Thai pop,"western-influenced popular music genres in Thailand, prominent since 1990s",1960,music of Thailand
Thai rock,music genre or scene,,rock music
Thanksgiving music,music genre,,holiday music
Thumri,semi-classical genres in Hindustani classical music,,Hindustani classical music
Tibetan Buddhist chant,music genre,,mantra
Tibetan Buddhist music,music genre,,Buddhist music
Tibetan new age,music genre,,new age music
Tierra Caliente music,genre of Regional Mexican music,1990,regional Mexican
Tigrinya music,music genre,,Ethiopic music
Tijuana sound,music genre,,
Timbila,music genre,,
Time Lord rock,music genre,2008,rock music
Tin Pan Alley,"historic name given to a collection of musicians, publishers and songwriters in Manhattan, New York City",1885,traditional pop
Tingkilan,"music of East Kalimantan, Indonesia",,music of Indonesia
Tintinnabuli,Compositional style created by the Estonian composer Arvo Pärt,1970,
Tocotín,music genre and type of dance,,Mexican folk dance
Toeshey,music genre,,
Togolese hip hop,music genre or scene,,African hip-hop
Tolai music,music genre,,music of Papua New Guinea
Tolai rock,music genre,1983,rock music
Torah reading,Jewish religious tradition that involves the public reading of a set of passages from a Torah scroll,,Hebrew cantillation
Torika,music genre,,Japanese folk song
Toronto sound,style of rap and R&B,,hip-hop
Tosk polyphony,music genre,,Albanian iso-polyphony
Tovareća mužika,traditional music ensemble from Sali,,traditional folk music
Trecento Madrigal,Italian musical form of the fourteenth and early fifteenth centuries,,
Tromsø techno scene,music genre or scene,,techno
Trumpwave,"Internet meme and art, associated with vaporwave and synthwave music",,
Trás-os-Montes folk music,music genre,,Celtic folk music
Tshikona,Venda national dance,,traditional folk music
Tsonga disco,music genre,,music of Southern Africa
Tsutsube,music genre and type of dance,,music of Botswana
Tsuur music,combination of instrumental and vocal music of the Uriankhai Mongolians of the Altai Region in Mongolia – inscribed in the List of Intangible Heritage in Need of Urgent Safeguarding in 2009,,Mongolian folk music
Tswana music,"music is performed by Tswana people during feasts and special occasions such as beer gatherings, weddings and initiation ceremonies",,music of Southern Africa
Tsyganskiy romance,music genre,1900,Russian romance
Tuareg music,music genre,,Berber music
Tubilah Walidia,Libyan singing art,,music of Libya
Tuka,marron dance and music style in Suriname,,dance
Tulsa sound,music genre,,American rock
Tulsi,music genre,,music of Tamil Nadu
Tunisian nubah,music genre,,
Tunisian rock,music genre,,rock music
Tunisian underground music,music genre,,
Turkic music,music of Turkic people,,music of Asia
Turkic-Mongolic music,music genre,,music of Central Asia
Turkish Black Sea Region folk music,music genre,,Turkish folk music
Turkish alternative music,music genre or scene,,music of Turkey
Turkish folk music,folk music of Turkey,,music of Turkey
Turkish hip-hop,music genre or scene,,music of Turkey
Turkish mevlevi music,music genre,,Islamic music
Turkish music style,West European impressionism of various Turkish styles used during the Classical music period,,classical music
Turkish pop,music genre or scene,,pop music
Turkish religious music,music genre,,religious music
Turkish rock,music genre or scene,,rock music
Turkmen music,music of Turkmen people,,Turkic music
Tuvan throat singing,music genre,,Central Asian throat singing
Tvísöngur,music genre,,
Twa music,music genre,,music of East Africa
Twang,musical style,,country music
Twin Cities hip hop,"Hip Hop scene in Minneapolis and St. Paul, Minnesota US",,American hip-hop
Type Beat,Instrumental track specifically produced to emulate the style of a particular artist or genre.,,beats
Tōgaku,music genre,,gagaku
UK bass,electronic music genre,2006,bass music (EDM)
UK drill,genre of music,2015,drill
UK funky,genre of electronic dance music from the United Kingdom,2006,electronic dance music
UK garage,genre of electronic music originating from England in the early 1990s,1993,electronic dance music
UK gqom,variant of gqom,,
UK hardcore,genre of music,1993,happy hardcore
UK hardcore (techno),music genre,,techno
UK jackin',music genre,2009,house music
UK rap,music genre or scene,1985,European hip-hop
UK street soul,music genre,1980,contemporary R&B
UK82,music genre or scene,1980,street punk
US bass music,music genres group that draws influence from the deep sub-bass lines of Miami bass,1984,bass music
US power metal,music genre or scene,1983,heavy metal music
US-Dancefloor,music genre,,electronic dance music
Udmurt folk music,music genre,,Volga-Ural folk music
Ugandan hip hop,music genre or scene,,African hip-hop
Ukrainian folk music,music genre,,music of Ukraine
Ukrainian hip hop,History of Hip-Hop in Ukraine,,music of Ukraine
Ukrainian metal,heavy metal music scene of Ukraine,,music of Ukraine
Ukrainian pop,Western influenced pop music in its various forms that has been growing in popularity in Ukraine since the 1960s,,music of Ukraine
Ukrainian rock,Ukrainian appreciation of and contributions to the rock music genre,,rock music
Ukrainian social household song,genre of Ukrainian songs,,Ukrainian folk song
Umeå hardcore,music genre or scene,,Swedish hardcore punk
Unaizah Samri,music genre,,
Urban Pasifika,Music genre,1993,New Zealand hip-hop
Urban Qawwali,music genre,,qawwali
Urdu music,music genre,,music of South Asia
Urlatori,singing and vocal style popular in Italy in the turn of the late 1950s and the early 1960s,1950,
Uruguayan punk,music genre,1993,punk rock
Uruguayan rock,rock music made in or associated with Uruguay,,rock music
Utdari Nongak,music genre and type of dance,,pungmul
Ute music,music genre,,indigenous music of North America
Uyghur music,music of Uyghur people,,music of Russia
Uzbek classical music,art music originating in Uzbekistan,,maqāmic music
Uzbek estrada music,music genre,,music of Uzbekistan
Uzbek folk music,music genre,,traditional folk music
Uzbek hip hop,music genre or scene,,music of Uzbekistan
Uzbek pop,pop music of Uzbekistan or Uzbek people,,pop music
V-pop,music genre of Vietnam,,pop music
Valaam chant,music genre,,Russian liturgical music
Valencian folk music,music genre,,Catalan traditional folk music
Vallenato,musical tradition fusing cultural expressions of several origins in the Monteria Córdoba - Magdalena Grande area of Colombia – inscribed in the List of Intangible Heritage in Need of Urgent Safeguarding in 2015,1900,music of Colombia
Vedic chant,oral tradition of the Vedas,,oral tradition
Venetian polychoral style,type of music of the late Renaissance and early Baroque eras which involved spatially separate choirs singing in alternation,,Renaissance music
Venetian popular song,popular songs of Venice,,song
Venetian song,music genre,,traditional folk song
Venezuelan bambuco,music genre and type of dance,,music of Venezuela
Venezuelan blues,music genre or scene,,blues
Venezuelan hip-hop,music genre and scene,,Latin hip-hop
Venezuelan merengue,music genre,,merengue
Venezuelan rock,music genre or scene,,rock music
Venezuelan waltz,musical genre that was popularized in 19th-century Venezuela,,music of South America
Ver,music genre,,
Verse anthem,"type of choral music, or song in religious music",,choral music
Verso,genre in Iberian organ music,,
Vidalita,music genre,,
Viennese couplet,vocal interlude in the farces or comedies of the old Viennese folk theatre,,interlude
Viennese music,music genre,,musica leggera
Vietnamese bolero,music genre of Spanish origin that was introduced to Latin America and then to Vietnam in the early 1950s,,music of Vietnam
Vietnamese classical music,music genre,,music of Vietnam
Vietnamese diasporic music,music genre,,
Vietnamese folk music,musical genre,,music of Vietnam
Vietnamese folk song,music genre,,traditional folk song
Vietnamese hip hop,music genre and scene,,music of Vietnam
Vietnamese popular music,music scene,,popular music
Vietnamese rock,music genre or scene,,rock music
Virgin Islander cariso,music genre,,Caribbean folk music
Visayan pop,music genre,,pop music
Vishnupada,music genre,,chant
Vocaloid music,music genre,,music of Japan
Volga Tatar folk music,music genre,,Tatar folk music
Volga-Ural folk music,music genre,,music of Russia
Volkslied,"German music term coined by Johann Gottfried Herder in 1773; meaning folk song, esp. as collected and arranged in 19th c. Germany",,Lied
Volkstümliche Musik,derivation of German folk music,1975,schlager music
Ví and Giặm folk songs of Nghệ Tĩnh,form of folk music in Nghệ An and Hà Tĩnh,,music of Vietnam
